epoch,accuracy,auc,categorical_accuracy,categorical_crossentropy,fn,fp,loss,precision,recall,tn,tp,val_accuracy,val_auc,val_categorical_accuracy,val_categorical_crossentropy,val_fn,val_fp,val_loss,val_precision,val_recall,val_tn,val_tp
0,0.6389021277427673,0.7144544720649719,0.6389021277427673,1.1941250562667847,1331658.0,7625.0,1.4561195373535156,0.966703474521637,0.14254531264305115,6204519.0,221378.0,0.8910873532295227,0.9383795857429504,0.8910873532295227,0.7576809525489807,145253.0,3910.0,0.7653552293777466,0.9772480130195618,0.5362233519554138,1248874.0,167943.0
1,0.8499680757522583,0.9101229310035706,0.8499680757522583,0.6612309813499451,562246.0,54398.0,0.829967737197876,0.9479538798332214,0.6379697322845459,6157746.0,990790.0,0.9127032160758972,0.9599235653877258,0.9127032160758972,0.4181566834449768,55036.0,12493.0,0.42717599868774414,0.9538412690162659,0.8242761492729187,1240291.0,258160.0
2,0.8827264904975891,0.9406358003616333,0.8827264904975891,0.4497922658920288,319880.0,87197.0,0.5837059617042542,0.9339593052864075,0.7940292358398438,6124947.0,1233156.0,0.9204906821250916,0.9682134985923767,0.9204906821250916,0.30831339955329895,37681.0,15888.0,0.31818002462387085,0.9454775452613831,0.8796887397766113,1236896.0,275515.0
3,0.9000300168991089,0.9555924534797668,0.9000300168991089,0.35256120562553406,232912.0,96362.0,0.4700855016708374,0.9319710731506348,0.8500279188156128,6115782.0,1320124.0,0.9266178607940674,0.9735384583473206,0.9266178607940674,0.25576508045196533,30457.0,16950.0,0.2661765217781067,0.9434413909912109,0.9027541875839233,1235834.0,282739.0
4,0.9118636250495911,0.9649654626846313,0.9118636250495911,0.29378291964530945,186761.0,96638.0,0.4011169373989105,0.9339413642883301,0.8797445893287659,6115506.0,1366275.0,0.9309633374214172,0.9773855805397034,0.9309633374214172,0.22440475225448608,26437.0,17212.0,0.23523147404193878,0.9433761835098267,0.9155895709991455,1235572.0,286759.0
5,0.919721782207489,0.9709116816520691,0.919721782207489,0.2561783492565155,158601.0,95331.0,0.3554331362247467,0.936009407043457,0.8978767991065979,6116813.0,1394435.0,0.9340157508850098,0.9802703857421875,0.9340157508850098,0.20369118452072144,24098.0,17115.0,0.2148614376783371,0.9441075325012207,0.9230577945709229,1235669.0,289098.0
6,0.9252689480781555,0.974871814250946,0.9252689480781555,0.23089517652988434,141190.0,92999.0,0.3230552077293396,0.9382002949714661,0.9090877771377563,6119145.0,1411846.0,0.9362571835517883,0.9820971488952637,0.9362571835517883,0.19063951075077057,22643.0,17094.0,0.20208045840263367,0.9444363117218018,0.9277034401893616,1235690.0,290553.0
7,0.9292193055152893,0.9774956107139587,0.9292193055152893,0.2135097235441208,129002.0,91068.0,0.2996186316013336,0.9398931264877319,0.9169356226921082,6121076.0,1424034.0,0.9378504157066345,0.9834229946136475,0.9378504157066345,0.1815139800310135,21678.0,16978.0,0.19316960871219635,0.9449652433395386,0.9307845830917358,1235806.0,291518.0
8,0.9324973821640015,0.9794752597808838,0.9324973821640015,0.20041844248771667,120792.0,88678.0,0.2813728153705597,0.9416945576667786,0.9222220182418823,6123466.0,1432244.0,0.9392840266227722,0.9843848943710327,0.9392840266227722,0.17443892359733582,20954.0,16760.0,0.18626640737056732,0.9457608461380005,0.9330962300300598,1236024.0,292242.0
9,0.9349107146263123,0.9809499979019165,0.9349107146263123,0.19045859575271606,114420.0,86939.0,0.26753315329551697,0.9430115818977356,0.9263249635696411,6125205.0,1438616.0,0.9405292272567749,0.9851343035697937,0.9405292272567749,0.16907553374767303,20424.0,16529.0,0.1810271292924881,0.9465601444244385,0.9347884654998779,1236255.0,292772.0
10,0.9372049570083618,0.9821650981903076,0.9372049570083618,0.1824037730693817,109312.0,84776.0,0.2563912868499756,0.9445364475250244,0.9296140074729919,6127368.0,1443724.0,0.941423237323761,0.9856185913085938,0.941423237323761,0.1653749942779541,20027.0,16348.0,0.17740945518016815,0.9471822381019592,0.9360560178756714,1236436.0,293169.0
11,0.9390548467636108,0.9831700325012207,0.9390548467636108,0.17590247094631195,105340.0,82819.0,0.24701346457004547,0.9458881616592407,0.9321715831756592,6129325.0,1447696.0,0.9422342777252197,0.9860103130340576,0.9422342777252197,0.16227386891841888,19714.0,16220.0,0.1743728667497635,0.947627067565918,0.9370554089546204,1236564.0,293482.0
12,0.9405216574668884,0.9839842915534973,0.9405216574668884,0.17058022320270538,102251.0,81530.0,0.23961201310157776,0.9467929005622864,0.934160590171814,6130614.0,1450785.0,0.9432655572891235,0.9864835143089294,0.9432655572891235,0.15873746573925018,19302.0,15939.0,0.17087920010089874,0.9485561847686768,0.9383708834648132,1236845.0,293894.0
13,0.9418822526931763,0.9846831560134888,0.9418822526931763,0.16584427654743195,99347.0,79992.0,0.2331608086824417,0.9478431344032288,0.9360304474830627,6132152.0,1453689.0,0.9438945651054382,0.9867283701896667,0.9438945651054382,0.156605064868927,19061.0,15773.0,0.16876274347305298,0.9491042494773865,0.9391403198242188,1237011.0,294135.0
14,0.9433155655860901,0.9852989912033081,0.9433155655860901,0.16189521551132202,96635.0,78386.0,0.22753871977329254,0.948927104473114,0.9377767443656921,6133758.0,1456401.0,0.9445459246635437,0.9870144724845886,0.9445459246635437,0.1542753130197525,18757.0,15550.0,0.16643577814102173,0.9498369097709656,0.940110981464386,1237234.0,294439.0
15,0.9441996216773987,0.9857689142227173,0.9441996216773987,0.15867140889167786,95031.0,77322.0,0.2229330837726593,0.9496380686759949,0.9388095140457153,6134822.0,1458005.0,0.9452004432678223,0.9872300624847412,0.9452004432678223,0.15239278972148895,18517.0,15390.0,0.16454535722732544,0.9503659009933472,0.9408772587776184,1237394.0,294679.0
